OF,omega_m,lam,N_lam,NMSE_modulo,NMSE_clip,NMSE_mulaw,dB_modulo,dB_clip,dB_mulaw
6,2.0,0.15,54,9.917819214113535e-33,1179.123048444125,2.8337277592094203e-32,-320.0358381246238,30.71559128650511,-315.47641875454934
6,2.0,0.1,60,9.133684946954614e-33,25035.96564788723,1.9564522329924155e-32,-320.3935397282086,43.98564346981624,-317.08530750983874
6,3.0,0.45,44,3.284840810016008e-32,0.0798570348475778,1.037374846798652e-31,-314.834856723772,-10.976868195266327,-309.84064286541957
6,3.0,0.2,54,1.633808458063261e-32,939.2516192802644,4.0190367718617934e-32,-317.867988599714,29.72781952464597,-313.9587802024648
6,3.0,0.15,54,1.3503076607797634e-32,1179.1230484440946,3.1589637714459384e-32,-318.69567268426476,30.715591286504996,-315.00455354769537
6,3.0,0.1,60,1.5733150053241315e-32,25035.965647887755,2.1746919101021997e-32,-318.03184315280254,43.98564346981633,-316.62602261109333
8,1.0,0.45,45,2.521206327426426e-32,0.022268393374036584,8.73962606028574e-32,-315.9839161160396,-16.523111154293865,-310.58507148993596
8,1.0,0.2,56,1.2828587544331255e-32,0.10862483268591662,3.178173003441191e-32,-318.91821157769357,-9.640708794835682,-314.97822465720566
8,1.0,0.15,57,1.5265789450556964e-32,0.5895870731884849,3.03974349499266e-32,-318.1628073180716,-2.2945204703579876,-315.17163062249557
8,1.0,0.1,66,1.2403281919220037e-32,40.3701689029016,2.0968675445110952e-32,-319.064633849329,16.060605664389172,-316.78429002298014
8,2.0,0.45,45,2.521206327426426e-32,0.022268393374036584,1.2483963484967e-31,-315.9839161160396,-16.523111154293865,-309.0364751029672
8,2.0,0.2,56,1.2828587544331255e-32,0.10862483268591662,3.111463313924327e-32,-318.91821157769357,-9.640708794835682,-315.07035315249703
8,2.0,0.15,57,1.5265789450556964e-32,0.5895870731884849,3.670732409762868e-32,-318.1628073180716,-2.2945204703579876,-314.3524727368156
8,2.0,0.1,66,1.2403281919220037e-32,40.3701689029016,2.1602224670836915e-32,-319.064633849329,16.060605664389172,-316.65501521417707
8,3.0,0.45,45,4.0056057460596597e-32,50.026184701704224,1.4762695305338586e-31,-313.9733179861129,16.991973822321988,-308.3083434377506
8,3.0,0.2,56,3.56210078964772e-32,267.41259382375995,6.52280833689809e-32,-314.4829379633584,24.27181856551139,-311.85565382392804
8,3.0,0.15,57,3.043165751562683e-32,349.63826225473224,4.5724151068602043e-32,-315.1667439235803,25.43618953072281,-313.39854349047704
8,3.0,0.1,66,6.847058323288943e-32,591.985337547069,7.832864958365546e-32,-311.644959727936,27.723109501329564,-311.0607936079841
10,1.0,0.45,47,2.6966485043763765e-32,0.014933180595612518,6.425559689093354e-32,-315.69175658129274,-18.25847682696199,-311.9208903775567
10,1.0,0.2,50,1.3344288984005223e-32,0.043132288183938876,2.876157494742418e-32,-318.74704561520497,-13.651975017590221,-315.4118733622212
10,1.0,0.15,51,1.3488974623926158e-32,0.04587219829112462,2.121820266859657e-32,-318.70021062344097,-13.384504470747117,-316.73291406682074
10,1.0,0.1,67,1.2072261066366987e-32,23.167403675724472,1.892810363837943e-32,-319.18211381378865,13.648773660089681,-317.2289289478646
10,2.0,0.45,47,2.6966485043763765e-32,0.014933180595612518,8.617470431128844e-32,-315.69175658129274,-18.25847682696199,-310.64620198099254
10,2.0,0.2,50,1.3344288984005223e-32,0.043132288183938876,3.039383841811194e-32,-318.74704561520497,-13.651975017590221,-315.1721444968845
10,2.0,0.15,51,1.3488974623926158e-32,0.04587219829112462,2.1683840606885184e-32,-318.70021062344097,-13.384504470747117,-316.6386379378236
10,2.0,0.1,67,1.2072261066366987e-32,23.167403675724472,2.2265933866377367e-32,-319.18211381378865,13.648773660089681,-316.5235908519437
10,3.0,0.45,47,2.08627458997618e-32,0.014933180595612253,1.0957033031865243e-31,-316.8062853144965,-18.258476826962063,-309.60307029093406
10,3.0,0.2,50,1.2831831660102666e-32,0.04313228818394059,3.2834446443037585e-32,-318.91711346501313,-13.651975017590047,-314.8367030109896
10,3.0,0.15,51,1.083250003464758e-32,0.04587219829112715,1.7582547456157243e-32,-319.65271300904504,-13.38450447074688,-317.54918201730885
10,3.0,0.1,67,8.952878551746125e-33,23.167403675724188,1.731602720889449e-32,-320.48037306790934,13.648773660089628,-317.61551740445884
16,1.0,0.45,53,1.9732160707868592e-32,1.0049732378956953,1.1011688815282444e-31,-317.0482535609981,0.02154496792352708,-309.58146070046166
16,1.0,0.2,85,1.4016079224291605e-32,71.46184068749758,4.393991311268563e-32,-318.53373456368956,18.540741984061313,-313.5714080619381
16,1.0,0.15,101,1.303203016874581e-32,1036.8490574105142,3.408987510292146e-32,-318.8498792332012,30.157155371942018,-314.67374589918404
16,1.0,0.1,149,1.471597588471126e-32,931793.6984757396,2.594356210564598e-32,-318.32210932525163,59.69319769080148,-315.8597039461209
16,2.0,0.45,53,1.9732160707868592e-32,1.0049732378956953,1.1011688815282444e-31,-317.0482535609981,0.02154496792352708,-309.58146070046166
16,2.0,0.2,85,1.4016079224291605e-32,71.46184068749758,4.393991311268563e-32,-318.53373456368956,18.540741984061313,-313.5714080619381
16,2.0,0.15,101,1.303203016874581e-32,1036.8490574105142,3.408987510292146e-32,-318.8498792332012,30.157155371942018,-314.67374589918404
16,2.0,0.1,149,1.471597588471126e-32,931793.6984757396,2.594356210564598e-32,-318.32210932525163,59.69319769080148,-315.8597039461209
16,3.0,0.45,53,4.5071949573201914e-32,30.357186792768285,1.0637564733291838e-31,-313.460936562496,14.822615229221965,-309.7315778406591
16,3.0,0.2,85,1.8778255649925868e-31,1114.9747255658824,2.3507755444468354e-31,-307.2634475268739,30.47265022835589,-306.28788835980026
16,3.0,0.15,101,25.52574274552151,13385.409806393185,25.52574274552151,14.06978388000411,41.26631672043737,14.06978388000411
16,3.0,0.1,149,19.042552676173518,6800124.93407451,19.042552676173518,12.797251656276302,68.32516891776932,12.797251656276302
